;marca;preco
98;Notebook Acer Aspire 5 A515-45-r4zf AMD  Ryzen 7 Linux Gutta 8GB 256GB SDD 15,6 Polegadas Full HD;R$ 5.150,15
99;Apple Macbook Pro, 14 Polegadas, Chip M2 Pro, 2022 10c, CPU/16c GPU/16GB/512GB, Cinza Espacial;R$ 14.724,99
100;"Chromebook Samsung Intel Celeron N4500 Dual-Core, 8GB RAM, SSD 64GB e.MMC, 14"" HD Antirreflexo, Intel UHD, Google Chrome - XE340XDA-KS1BR";R$ 2.629,99
101;Notebook Acer Aspire 3, Intel Core I3 11ª Geração 4.10GHz, 8GB DDR4, SSD 512GB NVMe, Tela 15.6 Full HD, Gráficos Iris Xe, Windows 11 - A315-58-372M;R$ 4.126,55
102;Notebook Vaio Fe15 Intel Core I5-1135g7, 16GB RAM, SSD 512GB, 15.6 Full HD, Linux - Cinza Grafite;R$ 3.285,00
103;Notebook Gamer Acer Nitro,  I7-11800H, 8GB RAM, Geforce GTX1650, SSD 512GB, Windows 11 - An515-57-740k;R$ 8.369,99
104;Notebook Gamer Acer Nitro 5 An515-44-r4ka Amd Ryzen 7 Windows 11 Home 8gb 512gb Ssd Gtx 1650 15.6´;R$ 6.899,00
105;"Notebook Gamer Acer Nitro 5 Intel Core I7 8GB Gtx 1650, 512gb Ssd 17.3"" Windows 11 Home - An517-54-76eg";R$ 5.699,05
106;Notebook Acer Aspire 3, Intel Core I5 11ª Gen, 8GB, SSD 256GB, Tela 15.6 FHD, Intel Iris Xe, Windows 11 Home, Prata - A315-58-573p;R$ 3.353,92
107;Notebook Vaio Intel Core i5 8GB 512GB SSD 15,6”;R$ 2.880,00
108;Apple Macbook Air 2022 Chip M2 8C, CPU 8C, GPU 8GB, SSD 256GB - Meia-noite;R$ 8.597,49
109;Notebook Gamer 2am E550 Nvidia Geforce Gtx 1050 3gb - Windows 10 Home Core I5-9400 8gb | 1tb + Ssd 128gb Fullhd 15.6.;R$ 6.590,00
110;Notebook Asus, Intel Core I5 1035g1 8GB, 512GB SSD, Tela De 15.6'',Cinza - X515JA-EJ1791W;R$ 3.159,75
111;"Notebook Positivo Motion Intel Atom - 4GB, 128GB eMMC, 14.1"" LED,  Windows 10";R$ 1.170,87
